,cafe,street,user,time,stars,reviews,sentiment,language,tokenized,cleaned_text
0,Bud's Coffee,Queen St E,Jeffrey Taylor,2 weeks ago,5,"Great coffee and fresh baked goods.
Talking with Sarah made my day!
What's not to love?",pos,en,"['great', 'coffee', 'fresh', 'baked', 'good', 'talk', 'sarah', 'day', 'love']",great coffee fresh baked good talk sarah day love
1,Bud's Coffee,Queen St E,Dasong Zou,2 weeks ago,5,I had a great tea here. Very pleasant.,pos,en,"['great', 'tea', 'pleasant']",great tea pleasant
2,Bud's Coffee,Queen St E,t s,a month ago,5,My Flat white was superb.  It’s a tiny spot with very limited seating but it is clean and friendly and the food/coffee is great.  Def. worth a visit,pos,en,"['flat', 'white', 'superb', 'tiny', 'spot', 'limited', 'seat', 'clean', 'friendly', 'food', 'coffee', 'great', 'def', 'worth', 'visit']",flat white superb tiny spot limited seat clean friendly food coffee great def worth visit
3,Bud's Coffee,Queen St E,Francesca Arkley,2 months ago,5,Best coffee and lemonade and chai lattes! Bud's still has delicious beverages. They no longer have indoor dining,pos,en,"['good', 'coffee', 'lemonade', 'chai', 'latte', 'bud', 'delicious', 'beverage', 'long', 'indoor', 'dining']",good coffee lemonade chai latte bud delicious beverage long indoor dining
4,Bud's Coffee,Queen St E,Sean Persad,3 months ago,5,Like the sidewalk ordering window. The Americano was good as well,pos,en,"['like', 'sidewalk', 'ordering', 'window', 'americano', 'good']",like sidewalk ordering window americano good
5,Bud's Coffee,Queen St E,littleyirkie,3 months ago,3,Love coffee n service but line blocks sidewalk. Only a problem when I'm not in line!,neu,en,"['love', 'coffee', 'service', 'line', 'block', 'sidewalk', 'problem', 'line']",love coffee service line block sidewalk problem line
6,Bud's Coffee,Queen St E,Vivian Tao,4 months ago,5,Amazing breakfast sandwiches !,pos,de,"['amazing', 'breakfast', 'sandwich']",amazing breakfast sandwich
7,Bud's Coffee,Queen St E,Mourad Mrabet,4 months ago,5,Small shop (squeezed between two restaurants) but good coffee and nice seating area.,pos,en,"['small', 'shop', 'squeeze', 'restaurant', 'good', 'coffee', 'nice', 'seat', 'area']",small shop squeeze restaurant good coffee nice seat area
8,Bud's Coffee,Queen St E,chris monster,4 months ago,5,"Great cortado, accepts reusable cups - or  enjoy non-disposable on the sidewalk patio.",pos,en,"['great', 'cortado', 'accept', 'reusable', 'cup', 'enjoy', 'non', 'disposable', 'sidewalk', 'patio']",great cortado accept reusable cup enjoy non disposable sidewalk patio
9,Bud's Coffee,Queen St E,Rizal,5 months ago,4,"Nice line up of wholebeans by Quietly and Hatch on display to purchase. Great option for specialty coffee around the area. Surpringly very few to choose from other than the big names. So, glad to have you existing for the neighborhood!👍👍",pos,en,"['nice', 'line', 'wholebean', 'quietly', 'hatch', 'display', 'purchase', 'great', 'option', 'specialty', 'coffee', 'area', 'surpringly', 'choose', 'big', 'name', 'glad', 'exist', 'neighborhood']",nice line wholebean quietly hatch display purchase great option specialty coffee area surpringly choose big name glad exist neighborhood
10,Bud's Coffee,Queen St E,Sukanya Telang,5 months ago,5,"Absolutely LOVED their coffee! It’s a quaint coffee place, with great service and by far one of the best coffees I’ve had in Downtown! ♥️",pos,en,"['absolutely', 'love', 'coffee', 'quaint', 'coffee', 'place', 'great', 'service', 'far', 'good', 'coffee', 'downtown']",absolutely love coffee quaint coffee place great service far good coffee downtown
11,Bud's Coffee,Queen St E,Catherine Marchand,6 months ago,5,"Great coffee, friendly staff and a solid assortment of baked goods including vegan options",pos,en,"['great', 'coffee', 'friendly', 'staff', 'solid', 'assortment', 'baked', 'good', 'include', 'vegan', 'option']",great coffee friendly staff solid assortment baked good include vegan option
12,Bud's Coffee,Queen St E,Col Mackay,7 months ago,5,"Super flat white, juice and cakes. Good service and location. Perfect pitstop for The Beaches.",pos,en,"['super', 'flat', 'white', 'juice', 'cake', 'good', 'service', 'location', 'perfect', 'pitstop', 'beach']",super flat white juice cake good service location perfect pitstop beach
