name,time,stars,reviews
Erik Lichtenfeld,4 days ago, 5 stars ,
TJ C.,a week ago, 5 stars ,Very good latte. The pistachio croissant was also delicious.
Zealous Void,a week ago, 4 stars ,"Always friendly and fast service, good supplier for coffee beans and supplies. The price point is a bit high for daily visits."
Danny S,a week ago, 5 stars ,Love the oat-milk cappuccino!
Luciano Paciornick,2 weeks ago, 4 stars ,
Roger Velazquez,3 weeks ago, 4 stars ,"(Translated by Google) A place where you can buy coffee, more marketing than product, more packaging than good ingredients. I asked for a coffee in the Chemex preparation method, and the Colombian coffee lacked acidity, aroma, body, well below the acceptable quality level. The sign outside the coffee shop says Roasters, but they don't roast there, just an over-marketed coffee shop. Accessible prices. They have Wi-Fi.

(Original)
Un sitio donde puedes comprar café, más marketing que producto, más empaque que ingredientes buenos. Pedí un café en método de preparación Chemex, y el café Colombiano, carecía de acidez, aroma, cuerpo, muy por debajo del nivel de calidad aceptable. El letrero afuera de la cafetería dice Tostadores, pero no tuestan ahí, un simple expendio de café con marketing excesivo. Precioa accesibles. Cuentan con Wifi."
Jorell Mora,3 weeks ago, 5 stars ,
Vivek Rao,4 weeks ago, 4 stars ,
Mina Jalali,a month ago, 5 stars ,Amazing taste of coffee around the world! Turkish coffee highly recommend
Kyleeanne Wood,a month ago, 3 stars ,
Zeynab Kohandel,a month ago, 4 stars ,
Sena bozkır,a month ago, 5 stars ,Lovely ambiance with warm yellow lights. Cute little cafe with delicious coffee! On the pic is seen capuccino with oatmilk. Good prices as well! Def refommend it.
Will Grafham,a month ago, 5 stars ,"Best vibe, taste, service, and most reasonably priced coffee shop I’ve tried in Toronto! Had a oat cappuccino and usually it’s made poorly when using this type of milk but it came out really well. Everything is spaced out well too, unlike other small coffee shops where conversation is hard to have. Will definitely be back to try different brews."
Rabina Chand,a month ago, 5 stars ,Love everything they serve. My fav is the almond croissant..must try that. Coffee is amazing too.
A B,a month ago, 5 stars ,
m,a month ago, 2 stars ,Place is ok. Prices are higher then Tim Hortans but the same taste in coffee imo
Yehor Plakhotia,a month ago, 5 stars ,
Dwayne J,2 months ago, 5 stars ,
Zohaib Noorani,2 months ago, 5 stars ,Loved their Strawberry Hot Chocolate!
Joyce,2 months ago, 5 stars ,One of the best coffee shops in downtown TO.  Great friendly staff and knowledgeable!
Roger Tabares,2 months ago, 4 stars ,"Beautiful place, great service and food! Excellent service"
Alzhan,3 months ago, 2 stars ,It was once great. Not anymore though.
Janice Chen,3 months ago, 5 stars ,
J B,3 months ago, 2 stars ,"It's okay if a place doesn't have WiFi, but here they have WiFi sign with password but it never works. Employees don't seem to care about that either. They simply answer ""They don't know why it's not working. It works for some"". In fact, it doesn't work for anyone. They won't do anything to help with WiFi because they say their system relies on that WiFi and doing anything is risky.

AMAZING coffee bway! Love their single estate blends."
Andrew Doppenberg,3 months ago, 4 stars ,Good coffee at a decent price. Could use more seating inside.
Mr JAMIE D. TORONTO,3 months ago, 4 stars ,"Amazing pastries and warm service. The sea salt hot chocolate is beyond delicious. The space is super cute, just tiny so a tad on the noisy side. Not ideal as a workspace or hangout it you're catching up with an old friend like I was."
Daniel Deschenes,3 months ago, 5 stars ,Amazing coffee and food
Barbara Lavoie,3 months ago, 5 stars ,
Priscila Siebra,4 months ago, 5 stars ,"Cute space, friendly baristas and delicious coffee. High quality. Love this coffee shop."
Raha Bahrehdar,4 months ago, 5 stars ,Loved their scones! Staffs are very nice and friendly
Cecilia Mok,4 months ago, 5 stars ,"Small coffee shop with an incredibly big menu of coffee and brewing methods. You can buy beans and grinds here too. They will make custom mix for you if you wish too. Brew bar offers more than the typical offerings: drip, aeropress, chemex, and syphon too! Service is fast and friendly. Had a v60 drip, cappuccino with oatmilk, cheddar and chive scone and ham and cheese croissant. The pastries were heated up and great! Drinks were also good. Will be back to try more! There is seating inside and outside too."
amanda simard,4 months ago, 3 stars ,The coffee is good but the service was subpar at the time.
