cafe,street,user,time,stars,reviews
Dineen Coffee Co.,Bay St,Matt Fowler,a week ago, 5 stars ,The best coffee full stop
Dineen Coffee Co.,Bay St,Alex Clements,a week ago, 1 star ,"Was expecting a flat white, got a luke warm cup of oat milk with what can only be described as a sad hint of espresso."
Dineen Coffee Co.,Bay St,Raj Manocha,2 weeks ago, 5 stars ,
Dineen Coffee Co.,Bay St,JD,a month ago, 5 stars ,
Dineen Coffee Co.,Bay St,Farah Fatima,a month ago, 5 stars ,"The latest addition to the Dineen family - this location is perfect in every way: the view, the customer service, the brilliant drinks and delicious food (special shout-out to the beef grilled cheese sandwich and pistachio muffin)"
Dineen Coffee Co.,Bay St,Judge Concepcion,2 months ago, 5 stars ,"I've tried their coffee in the past, and wanted to see if they had a decent espresso. I can confidently say that it surpassed my expectations! Something so simple and basic, blew my mind with its flavour, and I'll certainly be making my way back in the new year for my morning jolt."
Dineen Coffee Co.,Bay St,Louis-Philippe de Seve-Bergeron,2 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,saruka para,2 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,S5 travellers,2 months ago, 4 stars ,Great coffee.
Dineen Coffee Co.,Bay St,Royalty De Goddess Music,2 months ago, 5 stars ,I like there. It's a real Caribbean vibes.
Dineen Coffee Co.,Bay St,Cindy L,3 months ago, 5 stars ,"Good coffee, efficient checkout line especially for the traffic of financial core."
Dineen Coffee Co.,Bay St,Nishant Chandran,3 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,Michael Ramalho,3 months ago, 3 stars ,Espresso wasn't the classic taste I'm use to and priced quite high
Dineen Coffee Co.,Bay St,Rami Sarieddine,4 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,Shibu Mathukutty,4 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,Kwende Thomas,4 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,VladaTV,4 months ago, 4 stars ,
Dineen Coffee Co.,Bay St,Lisa McAllister,5 months ago, 4 stars ,Nice spot. Lots of seating.
Dineen Coffee Co.,Bay St,Zakaria Salim,5 months ago, 5 stars ,"Fabulous coffee, first time at Dineen, enjoy every sip."
Dineen Coffee Co.,Bay St,Kenneth Poon,5 months ago, 5 stars ,Coffee is great and better than Starbucks.  Staff is friendly as well.  I wished it opened a bit earlier but you can't have everything.
Dineen Coffee Co.,Bay St,D C,5 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,Cheburashka Lol!,5 months ago, 5 stars ,Nice friendly place with tasty cappuccino and pastry.
Dineen Coffee Co.,Bay St,David Denomme,6 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,Ines Lucia Fernandez Valdivieso,6 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,Mohammed Soltane GUERROUD,6 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,Bilal Choksi,6 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,Ash Raichura,6 months ago, 5 stars ,"Top notch baristas here. Delicious espresso, cool vibe & architecture to boot!"
Dineen Coffee Co.,Bay St,Nathaniel Reid,7 months ago, 5 stars ,Staff were amazing there they let me charge my phone because my phone was almost dead
Dineen Coffee Co.,Bay St,Robert Drain,7 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,José Mue,7 months ago, 5 stars ,"It has the perfect ""Suits"" / financial district style."
Dineen Coffee Co.,Bay St,P D,7 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,Federico Pizzuto,7 months ago, 4 stars ,"I went there with a lot of expectations but the latte was very average.
It wasn’t a place that really impressed me and I don’t think I would go back there."
Dineen Coffee Co.,Bay St,Simon Williams-Im,8 months ago, 5 stars ,"Yes, this branch is inside the lobby of the CIBC building (I was confused by Google map’s incorrect image). The lobby area is lovely and there is a beautiful waterfall outside to enjoy as you sip on a delish brew and cake :) really enjoyed the friendly service and lovely coffee !!"
Dineen Coffee Co.,Bay St,Simon Montwa,8 months ago, 5 stars ,
Dineen Coffee Co.,Bay St,Jordan B,9 months ago, 5 stars ,
