name,time,stars,reviews
Lexi D,2 days ago, 4 stars ,Not great for dine-in but great coffee selection and unique flavours of chai lattes!
Nella Tadic,4 days ago, 5 stars ,"Best coffee in town. Service is always fantastic. But nothing beats the bakery. This Mos Mos is different from the other chains,
the reason they stand out is def because
of the food they serve. So good!!"
Nick Kavassalis,4 days ago, 5 stars ,
Kathy Cheng,5 days ago, 5 stars ,
Jen Li,5 days ago, 5 stars ,Great treats and friendly staff! Perfect for that quick pick me up.
TL Pun,5 days ago, 5 stars ,Came for a Latte and kids hot chocolate. Both were delicious! Service was friendly and quick.
B.J. Y,5 days ago, 5 stars ,Matcha cookies are the best!!!  Will definitely be back!
Pauline T,5 days ago, 5 stars ,
Karen Chan,a week ago, 5 stars ,"Love the variety of drinks and baked treats, especially the matcha latte. Great coffee shop, would highly recommend!!"
Vickie Fu,a week ago, 5 stars ,Lots of really good drinks and cookies here! I always get the tiramisu latte 💛 …
Alex,3 weeks ago, 5 stars ,
Joanna Yee,3 weeks ago, 5 stars ,
Anne,3 weeks ago, 5 stars ,Great coffee and great cinnamon rolls! I also really enjoyed their holiday cookie.
Anusree Roy,4 weeks ago, 5 stars ,Mos Mos has the most incredible matcha in all of Toronto. It’s perfection! And their service is excellent as well.
Hanna Derouin,a month ago, 5 stars ,Hi Anusree - we're glad you enjoyed your visit and the matcha latte! Hope to see you again soon :)
Vanessa Ho,a month ago, 5 stars ,
Maria Mejia,a month ago, 2 stars ,"Heard a lot of people recommended the coffee from this cafe and I FINALLY made my visit! 😜Mos Mos Coffee is located in Downtown Toronto and they serve a variety of coffee and pastries💕 (lots of cute donuts, all calling out to me!) This time, I got….

☕️Candamom Chai Latté ☕️
I actually have not tried this latte, I was looking for something that has no sugar and the waiter recommended this to me! 🥰It is one of my favourite now, I will definitely come back and get it again! 🤭The Chai flavour is not as heavy as I thought it would be and every sip I drank was very soothing. 😋If you are looking for something with no sugar but more on the milky side, this is definitely something you should try out! 🤠

🍋 Lemon Poppyseed Loaf 🍋
This was calling out to me, I am totally a fan of lemon poppyseed loaf. 😋Their loaf was very yummy and rich in lemon flavour! It is more on the sweeter side and I wish there were more lemon flavour but totally loved it! 🤠

Other than Lattes, they also serve different coffees like flat white, Americano. 💕I have heard that their Matcha latte is very very good but they cannot do no sugar so I did not get to try this time! 👀Will definitely come back for the Candamom Chai Latte!😌

Thank you for yummy treats! 🤍"
Saiema Zia,2 months ago, 5 stars ,Hi Vanessa - thank you for visiting and we're glad you enjoyed everything! We have a Ceremonial Matcha that has no sugar and we're able to make the Masala and Ginger Chai unsweetened as well. Come back in the spring/summer for our Lemon Blueberry Loaf if you like lemon! :)
aimee l,2 months ago, 5 stars ,"I came to the coffee shop since I had a couple hours to spare and wanted to study and do some work. Their wifi has a bunch of sites blocked which meant I only had access to my email. All of my google docs were not accessible and my online drive for school was also not accessible. For the price of the coffee I would at least expect some basic wifi connection. When I spoke with the manager all she said was that she could not help and that its not their wifi thats the problem, that its probably the site or my computer. Which is not true due to me being able to access my work and school from my phone using my data and later being able to access it with no issues at another coffee shop. Clearly they don't care about customer experience."
Samantha Woody,2 months ago, 5 stars ,"Hi Maria, we apologize we were not able to assist. This is the first time a customer has had issues with accessing a website so we have addressed this issue with IT to have them look into it. Hope to see you again soon."
Michelle Li,2 months ago, 5 stars ,
Flawnson Tong,2 months ago, 5 stars ,
Jess M,3 months ago, 5 stars ,
Steff M. Domingos,3 months ago, 5 stars ,Fast and efficient service. Great lattes and love the taro cookies!
A Zia,3 months ago, 5 stars ,Hi Michelle - thank you for visiting and glad you enjoyed everything!
Nour Alsoori,3 months ago, 5 stars ,"Surprisingly some of the best cookies in town. Crispy edges and chewy center like I wish all cookies are. The boxes are cute and not too expensive.

High recommend the cookies and cream and chocolate caramel. The peanut butter one was a bit of a downer."
Hellooo Sunshine,3 months ago, 5 stars ,Hi Flawnson - glad you enjoyed the cookies! And thank you for the tip about the Reese's. Hope to see you again soon!
Garret Drumm,4 months ago, 5 stars ,"This place is truly something else. Amazing coffee, deliciously addicting cookies/yummy baked treats and a team of wonderful staff. Thank you kindly for your instrumental support for front line nurses. We truly felt the love through the wonderful treats today! Thank you again for making our nursing week a truly special one. I am confident to say, your location has now gained a massive fanbase of operating room nurses ❤️"
Antonia G,4 months ago, 5 stars ,Hands down best coffee shop! I always come to this shop for a Masala Chai Latte and their cinnamon rolls. They’re staff is always so friendly and patient when you’re ordering. I’ve also order two coffee take-away jugs and the way they prepare everything very top notch! I highly recommend this place if you ever want to treat your office.
Sena bozkır,4 months ago, 4 stars ,
Keri Trimble,4 months ago, 1 star ,
Dr. Pepper1975,5 months ago, 5 stars ,"Enjoyed a pumpkin spice latte with a pumpkin 🎃 cheesecake… absolutely yum! Also, wonderful customer service 😍. Great place to grab coffee on Bay. …"
Judy Naamani,5 months ago, 4 stars ,
Priscilla Aviado,5 months ago, 5 stars ,Cute cafe with very friendly staff
Jonathan Chou,5 months ago, 2 stars ,"Got a capuccino with oat milk. It was delicious no complaints about that, however the lady taking my order was not friendly and she was frowning literally. I understand everyone has bad days but this is a customer service job, and apparently this is not only my experience based on the reviews I have read. The other two people working there were very smiley. So i cut down a star because of not feeling welcomed."
aislinn brown,5 months ago, 5 stars ,Absolutely terrible service. Just awful! That's always been the way with this shop. Management needs training so they can train the staff properly. I walked out without getting anything.
Minh Tú Trần,6 months ago, 4 stars ,"(Translated by Google) Very good coffee, even the decaffeinated one. Some milk alternatives to choose from. Lots of sweet pastries and tasty croissants. Not particularly cheap but reasonable for the quality offered

(Original)
Sehr guter, selbst der entkoffeinierte, Kaffee. Einige Milchalternativen zu Auswahl. Viele süße Teilchen und geschmackvolle Croissants. Nicht sonderlich günstig aber für die gebotene Qualität angemessen"
B. Lin,6 months ago, 4 stars ,"Had an iced mocha latte here, it tasted good! my only complaint was that both our paper straws were getting caught in the lid of the cup and it became impossible to move the straw around. But otherwise it was delicious!"
Abby Sky,6 months ago, 5 stars ,"I LOVE This place!!

Their chai tea latte is the best in the city, in my opinion.

Staff is so friendly and their cakes and cookies are delicious.

ABSOLUTELY recommend this and any of their other locations."
Liz Sant,6 months ago, 5 stars ,Odd experience. We stood in front of the counter ready to make our order but neither of the baristas acknowledged us for 5 straight minutes as if we weren’t there. We were confused for people picking up our order but even then a simple hello would’ve been appropriate?The cold brew was mediocre. Not coming back.
Elvin Kao,6 months ago, 5 stars ,Amazing Americanos! Sweet barista. Good cookies 👌🏻 and biggggg donuts! Love the vibe!
Nicola Virtuoso,6 months ago, 1 star ,
Lillian JT.,7 months ago, 5 stars ,"[ ] will visit whenever I come to the city
[x] will recommend to others
[ ] no regret, but won’t visit again
[ ] I’d rather eat McDonald’s
[ ] I was angry

Great coffee, I feel more focused at work
From brain of Brian"
L,7 months ago, 1 star ,Thank you for visiting us! Glad you enjoyed the coffee!
chiransh gaur,7 months ago, 5 stars ,
Julio Fernandez,7 months ago, 5 stars ,Try the Americano with cream - so good! Friendly staff and clean environment.
Sami Pritchard,7 months ago, 5 stars ,
T.,7 months ago, 4 stars ,
Spencer Fu,8 months ago, 5 stars ,
Johnathan Agaton,8 months ago, 5 stars ,"You have a coffee shop and you dont know what fruity, acidic, roasty mean for espresso flavours?"
Sameer Kumar,8 months ago, 5 stars ,"I love the coffee and cardamom Chai.
Good place to have a break."
subhajit ghosh,8 months ago, 5 stars ,
Ramya Mahadevan,8 months ago, 5 stars ,
Jayanthi Palanivel,8 months ago, 5 stars ,Nice little coffee shop with interesting menu selection. I tried the Kenyan Chai Latte which was described to be comparable to HK milk tea. The drink was smooth but a bit too much milk to tea flavour for my taste. Space is clean. Baristas are friendly.
Tiffany Santos,8 months ago, 5 stars ,"Their must be a reason why they are always busy.
Love their varieties of Chai Latte, and the bakery items especially.
Priced unreasonably competitive, with high quality. 3 thumbs up !!!
I would never go to their competitors again !"
Fanzhu Deng,9 months ago, 5 stars ,The best
Seven Star Wheel,9 months ago, 5 stars ,
El-Candy Ajayi,9 months ago, 3 stars ,"Amazing cafe! Had mango chai tea latte, cafe mocha, banana chocolate bread. All of them are just amazing."
Parwinder Taank,9 months ago, 5 stars ,👍 …
Lee Balki,9 months ago, 4 stars ,"This is a great little coffee place. I had chai latte, Flat white and cardamom latte. All of them were fantastic!"
Peter Chiem,10 months ago, 5 stars ,Love the taro latte and Kenyan milk tea chai latte!
Matt Conquer,10 months ago, 5 stars ,
Ron Leung,10 months ago, 2 stars ,"This is my morning coffee stop - great coffee, love the staff.  Whatever you do though, don't start eating the bloomer's donuts because you won't be able to stop!"
MADHURA BHOSALE,10 months ago, 2 stars ,"I heard really good things about the chai. Maybe I had the wrong kind, but I was disappointed"
Aditi Jadhav,11 months ago, 4 stars ,"Excellent service and latte. One of my favourite coffee shops in the city, love this place!"
Lauren Nunes,11 months ago, 5 stars ,
C,a year ago, 1 star ,"The lattés here are easily one of the best in the city, and their doughnuts are delicious! Shout out to Elisha for always providing an amazing experience!"
Megha Bhardwaj,a year ago, 5 stars ,
Steven Freeman,a year ago, 5 stars ,
Catherine Nguyen,a year ago, 5 stars ,"Didnt like the matcha cookie.. felt like i was eating raw cookie dough.. it was stale and thick.. and gave a raw taste.. way too sweet to be called it as “matcha dark chocolate” cookie.. tried hazelnut cookie and triple chocolate.. it is average..
Must try tiramisu latte.. 2 stars overall"
Amani,a year ago, 5 stars ,
Madeleine Pigeon,a year ago, 5 stars ,"Croissant shocked me, delic! Great capp too"
Mitch Tucker,a year ago, 4 stars ,Thanks for visiting us! Try our freshly baked cinnamon rolls next time!
Kyle Chin,a year ago, 5 stars ,"not sure why this place is so popular, I’m convinced people don’t like real coffee. portion size is way overboard, ordered a medium and it’s even bigger than Starbucks which is bigger than any boutique cafe already. most importantly, the latte tastes like water downed milk. I can’t even taste the espresso…."
Efraim Pestana,a year ago, 5 stars ,"Price: everything is worth it

My experience: I tried the taro latte and wow 🤤 there are so many things I want to try like the red tea latte, matcha and more. The bloomers donuts are beautiful, large and a great option alongside the many fresh baked snacks offered. So happy to have come across this chain and hope to see so many more around Toronto. 100% recommend 💯"
Swaraj Kashyap,a year ago, 5 stars ,Thanks for visiting us Megha! We have many more delicious drinks and freshly baked goods for you to try ;)
fla1124,a year ago, 5 stars ,The Vegan Donuts were decent.
Elaina K.,a year ago, 5 stars ,Tried the taro drink and got a box of assorted cookies. Everything tasted great! Service was fast and friendly.
Larissa Chan,a year ago, 5 stars ,Thank you for visiting us! Let us know which cookie what was your fave!
Diana Nguyen,a year ago, 4 stars ,Great staff. They sell ethically sourced coffee
Célia Chalfoun,a year ago, 5 stars ,"Great little coffee shop! Got the gingerbread latte and caramel latte, both with oat milk. Also picked up a bag of their espresso that the barista so kindly ground for us, makes a great at home latte"
pritesh khona,a year ago, 5 stars ,Thank you for visiting us! Try our take-home chai lattes next time!
Haddie majnoon,a year ago, 5 stars ,"On my stay in Toronto recently I decided to get Iced Caramel Macchiatos from here, they were certainly not flavorful but it did it's job at tasting like coffee."
Master iOqY,a year ago, 5 stars ,
Ruel Ramirez,a year ago, 4 stars ,
Charmaine Borja,a year ago, 5 stars ,Never Dissapoints! Some great Coffee ☕
Frank C,a year ago, 5 stars ,
Monis A.,a year ago, 2 stars ,Love the coffee. My go to is the Maple Latte. Their seasonal menu is great.
Mike Laviolle Raptors,a year ago, 5 stars ,
Emre YILMAZ,a year ago, 4 stars ,Had a cold brew and power cookie. Cold brew was not bitter and the power cookie was nice.
Lotus Cedar,a year ago, 4 stars ,The Masala/Cardamom chais are amazing and service is always friendly. Numerous plant-based milk options. They also have a delicious vegan carrot loaf as well as Bloomer's vegan donuts.
Satwik Pattanaik,a year ago, 5 stars ,Great chai latte selection.
hareesh tummala,a year ago, 3 stars ,My most favourite coffee shop in GTA. The food is great too!
Tammy S,a year ago, 3 stars ,The concept is simpler than ordering at Starbucks which can be confusing at times even on the app. Service is consistently friendly across all locations. This newer location also has Bloomer's vegan donuts which are not cheap but pretty good with unusual flavours. Their teas are frothed with table cream instead of normal cream and the combo is divine with a bit of sweetness.
Pepe Pipo Ania Gonzalez,a year ago, 5 stars ,Glad you enjoyed your experience!
Willy Leung,a year ago, 5 stars ,
Jeremy Hunsinger,a year ago, 5 stars ,Home to the best baked goods (original chocolate chip cookie ❤️👌🏼😋) and amazing chai lattes 🌟 …
Kay K,a year ago, 4 stars ,Thanks for your kind words Charmaine!
