cafe,street,user,time,stars,reviews
NEO COFFEE BAR,Bay St,roz,16 hours ago, 4 stars ,Love the vibe here!
NEO COFFEE BAR,Bay St,Menekse D m,22 hours ago, 1 star ,Attention Please!
NEO COFFEE BAR,Bay St,Harishyam Manohar,a day ago, 4 stars ,Good place for quick coffee. I wouldn’t say the best coffee I had but the coffee was good. The interior decor of the cafe was nice and pleasing.
NEO COFFEE BAR,Bay St,Lexi D,4 days ago, 4 stars ,Pricey but great for quality matcha and upscale desserts!
NEO COFFEE BAR,Bay St,Brianna Dueck,6 days ago, 5 stars ,
NEO COFFEE BAR,Bay St,Karl Sengupta,a week ago, 5 stars ,The best coffee in Toronto
NEO COFFEE BAR,Bay St,Hithasha Kurera,a week ago, 4 stars ,They didn’t have a lot of options when I visited at 4pm on a weekday but had the cookie choux which was really soft and delicious! The vanilla filling could have been a little flavourful in my opinion but it was still a nice treat for the price! Haven’t tried their drinks yet but can’t wait to try!
NEO COFFEE BAR,Bay St,William Ye,a week ago, 3 stars ,"Excellent range of drinks, though the seating is a little crowded and during a busy afternoon you can barely hear your own thoughts."
NEO COFFEE BAR,Bay St,Bora Öçal,2 weeks ago, 5 stars ,Thanks William for the review! Please contact us at customercare@kinkafamily.com if you have any  suggestions to help us improve the dining experience! Cheers!  
NEO COFFEE BAR,Bay St,Beau Molnar,2 weeks ago, 5 stars ,
NEO COFFEE BAR,Bay St,Michelle Lee,2 weeks ago, 4 stars ,
NEO COFFEE BAR,Bay St,Nish,2 weeks ago, 5 stars ,"NEO is a really nice coffee shop to relax.
It has a wide space, and the staffs are always friendly.
I ordered the seasonal Kurogoma Hojicha Latte and it was delicious.
The only downside of this place is their wifi limitation to 1 hour."
NEO COFFEE BAR,Bay St,Khkllvc R,3 weeks ago, 5 stars ,"I had a wonderful experience at this cafe.The coffee and baked goods are delicious, and the atmosphere and seating areas are great. This is the perfect place to meet up with friends. For students in the area, the location is very good and the service is fast and friendly."
