name,time,stars,reviews
Wacha Chaka,a week ago, 4 stars ,
Allan Pulker,a month ago, 3 stars ,"Not as good as it used to be. Plastic panels between customers and barista, cramped indoor seating and main seating area has been taken over by business-related activities.

However the espresso is still excellent!

It is, alas, no longer my first choice among the various cafés in my neighbourhood."
Gabriela,a month ago, 5 stars ,Hands down the best cortado I've ever had! Happy to see gluten free options available! Grabbed a gluten free brownie and it was not very sweet.
Yeung Stephenie,2 months ago, 1 star ,"I ordered a cup of soy milk latte and a cup of earl grey tea, the girl ended up giving me a cup of earl grey tea with soy milk."
Abjith,2 months ago, 5 stars ,
Simon W,3 months ago, 3 stars ,"I would pass by and notice a sign advertising they had ice cream so I decided to give it a try. I'm sure the coffee is great given the reviews, but their ice cream cone was very sad. Would not recommend their ice cream."
Tarek Ghaly,4 months ago, 5 stars ,Cozy place that I found by coincidence!! I took the wrong metro and found this hidden gem.. coffee is very nice and bakeries too..staff are very friendly and prices are reasonable..
Joe Adragna,4 months ago, 5 stars ,I'm a coffee flavored coffee kind of guy. The best coffee I've had in a long time!
Mike W,4 months ago, 5 stars ,Great coffee.  Great snacks.
Marianne Fowler,5 months ago, 5 stars ,
Rebby Jacobs,5 months ago, 5 stars ,Super friendly staff and such a cozy vibe. I had an absolutely delicious vegan sausage roll and cappuccino!
Amir Ghaffari,5 months ago, 5 stars ,"The have remarkable coffee and great ambiance, they roast their own coffee and I always ask the them to grind fresh for me ,,,,I do recommend , I believe is family run business…."
Toronto Psychology,6 months ago, 5 stars ,Love the fresh Pastries
Rekha,6 months ago, 2 stars ,"It's okay, nothing special at all. Also, me and three other friends got the exact same drink with no modifications and were somehow charged different amounts before tip. Will not be returning."
R H,6 months ago, 3 stars ,Can’t beat fresh pastries with a double shot
Andy Dabydeen,6 months ago, 5 stars ,"Excellent coffee shop and roaster. Yes, they have teas and lots of tasty baked goods as well."
Amin Rahmani,7 months ago, 5 stars ,"This was the right place to walk into.
The friendly gent brewing the bean made such a good Americano, I had to stay and have another. Second one was iced since it was so hot out, perfect.
I mentioned to him how I liked that it wasn’t very acidic, and he pointed out some of the reasons behind it, which were very cool to learn.
Followed that up with the mixed berry muffin I had been eyeing earlier. It had a PROPER amount of berries, which is just the way I like it.
Even managed to get a good amount of work and reading done while listening to the very chill jazz playing in the background.
I’ll definitely make this a regular hangout on my days in town. There are two more muffins I’m eyeing for my next visit :D"
smriti Khanna,7 months ago, 5 stars ,It was the best coffee i have had in Toronto so far. Strong and refreshing!
Satarupa,7 months ago, 4 stars ,"Had a really good glass of their Ethiopian Cold Brew with notes of Chocolate and Caramel, was refreshing and strong at the same time.
Enjoyed it with a Butter Tart(without raisins), the filling was a tad too sweet for my taste but fresh and good quality.
Overall, would surely revisit to try their other remarkable bean coffees :)"
Elham Yaesubi,8 months ago, 5 stars ,I like this place. The products are really delicious and they're all really fresh
Jerry Higgins,9 months ago, 5 stars ,I feel they are one of the best places to buy roasted coffee beans in Toronto. Good selection of beans  and roasts available. Their beans are my go to for the Aeropress. Food is also great. Service at this location is impeccable and staff here are very friendly.
Alejandra,10 months ago, 2 stars ,"Out of all the pretentious Queen street coffee shops this is one I would urge you not to go here.

I’ve been here several times in the last couple of months because I wanted to give them a chance but nope, still the same awful service every time.

I was just there and the person serving me clearly had no interest in being there and shows no service etiquette. My standards are not high, but all I’m saying is I’ve received better service at Burger King.

I give them 2/5 because at the very least they have a good selection of food which most coffee shops nowadays don’t seem to offer.

I would be happy to come back to this Queen staple if their staff integrated manners into work ethic and accepting cash would be a plus!"
Doyour Part,10 months ago, 5 stars ,"Exceptional coffee, service and tarts! Great atmosphere and vibes"
Rob Norris,11 months ago, 5 stars ,Such a cool place for coffee of snack or baked goods!
M T,a year ago, 5 stars ,"Good espresso at a reasonable price. Strong with a smooth ending. Decor was rustic. Barista was pleasant. Many options for pastries and dessert. Had a peanut butter cookie...one of the best, it was 1 inch thick! Hard to choose only one item for a treat. Many options for alternatives other than coffee and cookie."
dan lendvay,a year ago, 5 stars ,"Fantastic shop...great service..OHHHHHHMG delicious pastries....wonderful decor...so unique...forget the chain shops if you live in the area or are passing by...

Stop in...I regret the past years being around and not trying this place sooner!!"
Patrick Kavanagh,a year ago, 5 stars ,
Christian J,a year ago, 4 stars ,
M Sorkhabi,a year ago, 4 stars ,"Friendly staff, good coffee, ok pastry. Prime location: Right on the beach. Doesn’t have indoor seating but there are a few bistro sets outside; you can also get your coffee to go, enjoy it on the beach. They have loose leaf tea and coffee beans for purchase.
I tried the shortbread cookies; they are thin and taste ok. I wouldn’t get it again, but the coffee yes!"
Erin O'Neill,a year ago, 4 stars ,
Michael Anhorn,a year ago, 5 stars ,They have the best whole bean coffee I’ve fond in Toronto and they are very friendly and helpful!
Timothy Roy Walks,a year ago, 5 stars ,Great place. I recommend the French vanilla latte on a cold day.
Quiet City Design,a year ago, 5 stars ,"I don't get to the east side of Toronto to often, so I don't know the local shops as well. I popped into Remarkable Beam on a whim to pick up coffees for a client meeting. George (owner) was very friendly and accommodating. The coffee is great, and the homemade muffins are a great way to start the day. I'll be back next time I'm in the area!"
Christina Garner,a year ago, 5 stars ,"Not only is this the BEST coffee in the area, the customer service is friendly, familiar and welcoming. Their treats are fresh and delicious and they’re serious about the quality of their coffee beans. Would highly recommend."
Arhum A,a year ago, 5 stars ,Well deserving of this 5 star rating for George. Food and coffee are always fresh and George is always extremely welcoming.
Corey Mueller,a year ago, 5 stars ,George is a solid guy. The coffee ☕  and vegan sausage roll is absolutely amazing. My new spot in the morning.
Hitesh Thukral,a year ago, 4 stars ,
Sal Celestial,a year ago, 5 stars ,"The carrot cake is incredible!!!
I have to try the rest :)"
David Seemungal,a year ago, 4 stars ,
James Scott,a year ago, 3 stars ,
Rabab Jahan,a year ago, 5 stars ,
David Banh,a year ago, 1 star ,"Ordered the matcha latte. There was barely any flavour of the matcha, drank it when I got home. It tasted like microwaved milk with a hint of green tea."
Maria Vaysman,a year ago, 5 stars ,Delicious pastries and drinks!! Great service! Easy to purchase thru a window (great if you have a dog and cant come inside) 😊 …
Dino Teixeira,a year ago, 4 stars ,
Andrea Kavanagh,a year ago, 5 stars ,Picking up my beverages here in their great little curb side hub during Covid in my neighborhood has made my days a little brighter. You guys make the BEST matcha latte in the area!
Nicole Knight,2 years ago, 5 stars ,I ordered three different coffee blends from their online store. They shipped really quickly.  The 25th Anniversary blend is perfect and I can't wait to try the other two!
Karen T,2 years ago, 5 stars ,"Purchased their espresso beans, latte and mince pies. Absolute treat of a place!"
Kirstie,2 years ago, 4 stars ,My go to for fresh ground coffee. This cute little local spot in Queen East is a gem! Curb side purchase is easy peasy and I will continue to support😁 …
