cafe,street,user,time,stars,reviews
Simple Coffee,Queen St E,Henry Lu,3 days ago, 5 stars ,Could you name a cozier coffee shop with more exceptional service in the east end? Tripped in here with my crew and Jason treated us like old friends. The dude takes his coffee and other beverages seriously. Keep spreading them good vibes!
Simple Coffee,Queen St E,Vasily Giannakeas,a week ago, 5 stars ,Appreciate you taking the time to share Henry ☺️🙏🏽
Simple Coffee,Queen St E,Dasong Zou,a week ago, 5 stars ,"Great coffee, great vibes. Employees are very friendly :)"
Simple Coffee,Queen St E,Frank L (Syncros),2 weeks ago, 5 stars ,"It a great place for coffee, energy drink, healthy snack. Must Visit often. The staff are friendly and helpful."
Simple Coffee,Queen St E,Sam,3 weeks ago, 5 stars ,"Appreciate it, Dasong 👍🏽"
Simple Coffee,Queen St E,Jennifer Csatlos,a month ago, 5 stars ,"They just opened but are a great addition to the neighborhood.   They're brewing using quality beans from Detour. They knew how to make a proper Cortado, which was just what I was looking for."
Simple Coffee,Queen St E,S W,2 months ago, 5 stars ,"Let's be Frank...Cortado is my fav 😉
Thank You 🙏
J"
Simple Coffee,Queen St E,Alicia Cornejo,3 months ago, 5 stars ,
Simple Coffee,Queen St E,Nicole Rae,3 months ago, 5 stars ,"This was my first time visiting Simple Coffee and it was a great experience!  Jason, the Owner is super friendly and provides a warm welcome. I highly recommend the blueberry scone. It was not overly sweet which I liked.   I also really enjoyed the cappuccino I had.  I would definitely return."
Simple Coffee,Queen St E,Jarrod Nichols,3 months ago, 5 stars ,
Simple Coffee,Queen St E,Jens Christian Roth,3 months ago, 5 stars ,"Highly recommend!
Stumbled across this cute little coffee shop as I’m new to the area.
I opted in for an oat milk latte and almond croissant.
Latte was very nice and creamy (i would say velvet-like). The croissant was amazing, I was so surprised by how delicious it was, I will 100% be back."
Simple Coffee,Queen St E,Parameshwaran Ayyar,3 months ago, 5 stars ,Fantastic coffee and treats. Staff are very friendly! Anyone looking for good coffee or tea-based drinks should check out this place.
Simple Coffee,Queen St E,Maddison L'Estrange,4 months ago, 5 stars ,Great coffee spot
Simple Coffee,Queen St E,Catherine Kazmir,4 months ago, 5 stars ,Really great coffee and fantastic owner. Can only recommend 🙏🏻 All the best from the Danes …
Simple Coffee,Queen St E,Glenn Gustafson,5 months ago, 5 stars ,"Fantastic little gem at Queen and coxwell. Jason and his team were exceptional. The coffee , muffins and croissants were amazing!"
Simple Coffee,Queen St E,Aaron Siebenga,5 months ago, 5 stars ,Lovely owner with great coffee!
Simple Coffee,Queen St E,Jodie Grieve,5 months ago, 5 stars ,Our favourite neighborhood coffee shop. Jason and his staff are super friendly and the food/drink are tasty too!
Simple Coffee,Queen St E,Zander Milroy,6 months ago, 4 stars ,"Good coffee, tasty croissants, and friendly service. Everything you need in your first stop of the day."
Simple Coffee,Queen St E,Timothy Roy Walks,6 months ago, 5 stars ,"Small cool shop, love coming here before I catch the streetcar."
Simple Coffee,Queen St E,Abbas Hassuji,6 months ago, 5 stars ,Just had an amazing dirty chai latte with oat milk from here! Our barista was really nice and chatty and definitely knew what he was doing when it came to the coffee making :)
Simple Coffee,Queen St E,Matthew Pflance,6 months ago, 5 stars ,
