cafe,street,user,time,stars,reviews
The Beacher Cafe,Queen St E,Hedi,an hour ago, 5 stars ,"We go here to celebrate and bond as a family... nice staff, nice service, nice food, nice place... we love coming here everytime we need comfort food! A bit busy on the weekend so I suggest to try weekdays to enjoy both food and company!"
The Beacher Cafe,Queen St E,Karin Lunan,a day ago, 5 stars ,
The Beacher Cafe,Queen St E,Andrew Moore,a week ago, 5 stars ,
The Beacher Cafe,Queen St E,Jim Lockington,2 weeks ago, 4 stars ,"A great place for breakfast and lunch.
On a cold day, don't sit near the windows. 😬"
The Beacher Cafe,Queen St E,Pierre Hiegel,4 weeks ago, 2 stars ,Service was great but the food was awful. Rarely had such a disgusting dinner !
The Beacher Cafe,Queen St E,Jason G,a month ago, 3 stars ,A nice diner in the beach. Not much to be said about the atmosphere but you will get a decent meal at a reasonable price
The Beacher Cafe,Queen St E,Shane Kennedy,a month ago, 4 stars ,Nice spot for a quick bite to eat. I got the all day breakfast and it was ok. Nothing special but enjoyable. The staff are very nice and the prices are ok for Toronto. Would visit again but wouldn't get the all day breakfast again.
The Beacher Cafe,Queen St E,Jordan Toumazou,a month ago, 5 stars ,
The Beacher Cafe,Queen St E,Nikolas Koschany,a month ago, 3 stars ,"It pains me to leave this review, as the Beacher Cafe is a neighbourhood institution. However, the last time we were here, the service took forever (we learned there was only one cook in the kitchen) and the food took forever to arrive and was sadly mediocre.

This does not have to be fatal, but the restaurant needs to make some improvements to regain our trust."
The Beacher Cafe,Queen St E,Sandra Riley,2 months ago, 4 stars ,Food was ok. They didn't make my eggs right. A bit over-priced in my opinion. Loved the atmosphere
The Beacher Cafe,Queen St E,Camila Nicole Chiriboga,2 months ago, 5 stars ,
The Beacher Cafe,Queen St E,K M,2 months ago, 5 stars ,"Had a great breakfast with my daughter, really nice vibe and menu.  The burger was solid but my daughter doesn’t do toppings so just mind that in the photos.

The only downside is that by the time brunch was done, I was  questioning my Toronto choices in life and consumed with the idea of fleeing midtown, moving out to the beaches, meeting my new neighbours and knowing their names.  Great spot but be careful."
The Beacher Cafe,Queen St E,paul zivontsis,2 months ago, 5 stars ,
The Beacher Cafe,Queen St E,Darrell Balsor,3 months ago, 4 stars ,Good food friendly service a bit pricey for breakfast but it was clean and washrooms were clean also I gave it a 4 mostly for price
The Beacher Cafe,Queen St E,Jodie Mulder,3 months ago, 5 stars ,Delicious breakfast. Great service
The Beacher Cafe,Queen St E,Safwan El Abbassy,3 months ago, 4 stars ,
The Beacher Cafe,Queen St E,Alexander Eliseev,3 months ago, 5 stars ,
