name,time,stars,reviews
mick stocko,a week ago, 5 stars ,
Flamesoul84,2 weeks ago, 5 stars ,Glutten free and very wholesome staff
Dale Street,2 weeks ago, 4 stars ,Thanks for coming in! 😇 you rock
Jason Yee,2 months ago, 5 stars ,"Lovely little cafe serving Detour and Pilot coffee, with a nice selection of takeaway snacks and meals and pantry items."
Mike Kuch,2 months ago, 5 stars ,Thank you Dale!! Hope to have you back soon
sophie steel,2 months ago, 5 stars ,
Safwan El Abbassy,3 months ago, 5 stars ,Thanks Jason 😍
Fabio Aversa,3 months ago, 5 stars ,"Bright, spacious and great coffee.  I had the Cortado and it was excellent.   Nice menu items if your hungry; they make sandwiches, etc.  Music was also on point."
Helen G,3 months ago, 3 stars ,Thank you Mike ❤️
Stephen Tredget,3 months ago, 5 stars ,
Pheebe McDonald,4 months ago, 5 stars ,Thank you Sophie!!
Sco Mo,4 months ago, 5 stars ,Great coffee and a wide low carb options that actually taste good.
Victoria Ferraro,4 months ago, 4 stars ,Thank you!! Hope to have you back soon 😍❤️
Kat G,5 months ago, 1 star ,
AC,5 months ago, 5 stars ,Thank you for leaving 5 stars!!
Willy Leung,5 months ago, 4 stars ,My go to place for keto cookies and delicacies. Coffe is ok not the best around the area. Service is nice and chatty. Some foods though are Really Overpriced!
Deep Dhillon,5 months ago, 5 stars ,Thanks Helen hope to have you back for cookies! We do pride ourselves on having good pricing for the quality of our food.. Best - aria
Tim D,6 months ago, 5 stars ,Best Coffee and service in the beaches
k,6 months ago, 5 stars ,Thank you Stephen ❤️
K Stewart,6 months ago, 5 stars ,The best chocolate chip cookie for my keto body
Sean Persad,6 months ago, 5 stars ,✊🏽✊🏽
Neilizza Silva,6 months ago, 5 stars ,"I love this spot, lots of very good food options including sandwhiches, and their coffee is bang on too !! You wouldn't know this place was low-carb, there's no sacrifice to taste here 😎
Also, I can use Muuse.ca here too 🤳🏽🔁🌎 …"
Fulden ozsoylu,8 months ago, 5 stars ,
Diana Lopez hernandez,8 months ago, 5 stars ,"Unfortunately not fully gluten free anymore 😔 FYI for celiacs... Hopefully it goes back to all GF 🤞to avoid cross contamination and be safe again, kitchen is too small to be celiac safe with the menu changes. …"
Tyler Dias,8 months ago, 5 stars ,"Hi Katharine, while we appreciate you taking the time to leave us a review, we do still offer celiac friendly options. We do work with many bakeries and other kitchens who do not process gluten and those items are pre-packaged and sealed. Our house menu does process gluten and is labelled as such. Thank you again and do reach out if we can help with anything else."
Sami Pritchard,9 months ago, 5 stars ,Love this spot! Such a cute cafe and their coffee is always delicious! They definitely stepped up their game in the Beaches by partnering with Muuse to offer a completely zero waste takeout experience in BEAUTIFUL reusable cups and I couldn't be happier! Kudos to you :)
