name,time,stars,reviews
Anne Mary Pham,2 weeks ago, 5 stars ,"Great coffee and decent vibes. There isn’t much space to sit/work, so I wouldn’t come here to study. But this place definitely serves a great flat white!"
Zahra Rajaei,2 weeks ago, 5 stars ,"Small, minimalistic and cute caffe with nice and friendly staff. There are not much sitting spaces but very well designed to have a calming vibe. I also love the menu as it is pretty straight forward and compartmented so you don’t need to spend half an hour to choose your order.
Their croissants was OK, not the best."
Anne,3 weeks ago, 5 stars ,"Such a cute, minimalistic little café with great coffee and pastries. I loved the pistachio oat milk latte and croissants. All the staff are so nice, you'll feel relaxed and at home here."
Maia Iris,3 weeks ago, 5 stars ,Cute and compact cafe which also sells coffee beans and a small array of pastries. The pistachio latte is fantastic!
Grace David,2 months ago, 4 stars ,"Another overpriced cafe but oh how I love it. A little sad that they only have 3 functional tables so if you are planning to go there to work, don’t. Or at-least have a backup plan. Tea was good but not worth five dollars. Pastries however, were phenomenal and I thoroughly enjoyed their raspberry croissant.

The atmospheres is really cute and service was quick and kind so I may try to come early to get a table and study for the day, but not to sure if it’s worth it."
Healani Norman,3 months ago, 4 stars ,"Very minimalistic coffee shop, I love it!!! The menu is easily compartmentalized so you're not spending twenty minutes deciding or even trying to locate what you want. I ordered the latte and my husband got the cappuccino, both of which came out with perfect micro foam. The croissant was on par being light and fluffy. We sat outside at one of the tables out front and people watched for a little while. Very lovely overall :)"
A Dreamer (ASA),3 months ago, 4 stars ,"I don’t usually go to small cafes like this (I go to big mainstream ones) but coming to this one on a whim at 8AM on a rainy morning was very cathartic. I’m not in Toronto all the time, so in a dry corner outside I spent 10 mins trying to find a cafe open, as it was 7:30am and many came up and frankly I walked the distance to a few, to which I couldn’t find and or cafes that didn’t feel right. When I saw this one I was pulled in b/c the name and honestly I’m glad I made the walking trip in the cold that morning. I had a version of a green tea White Rabbit Caffe offered & it was very bitter but that’s green tea for you 😂 it was a big cup, I spent an hour or so here with my air buds in and I was not bothered. A place to try for the vibes, friends."
Marco,3 months ago, 2 stars ,
Nelly Aguila,3 months ago, 5 stars ,
Jim Wallace,4 months ago, 4 stars ,"Good coffee, but a quite limited selection of pastries and such the day I was there. Nice place, though."
