cafe,street,user,time,stars,reviews
Coffee Island,Bay St,Erik Lichtenfeld,6 days ago, 5 stars ,
Coffee Island,Bay St,TJ C.,a week ago, 5 stars ,Very good latte. The pistachio croissant was also delicious.
Coffee Island,Bay St,Zealous Void,a week ago, 4 stars ,"Always friendly and fast service, good supplier for coffee beans and supplies. The price point is a bit high for daily visits."
Coffee Island,Bay St,Danny S,2 weeks ago, 5 stars ,Love the oat-milk cappuccino!
Coffee Island,Bay St,Luciano Paciornick,3 weeks ago, 4 stars ,
Coffee Island,Bay St,Roger Velazquez,3 weeks ago, 4 stars ,"(Translated by Google) A place where you can buy coffee, more marketing than product, more packaging than good ingredients. I asked for a coffee in the Chemex preparation method, and the Colombian coffee lacked acidity, aroma, body, well below the acceptable quality level. The sign outside the coffee shop says Roasters, but they don't roast there, just an over-marketed coffee shop. Accessible prices. They have Wi-Fi.

(Original)
Un sitio donde puedes comprar café, más marketing que producto, más empaque que ingredientes buenos. Pedí un café en método de preparación Chemex, y el café Colombiano, carecía de acidez, aroma, cuerpo, muy por debajo del nivel de calidad aceptable. El letrero afuera de la cafetería dice Tostadores, pero no tuestan ahí, un simple expendio de café con marketing excesivo. Precioa accesibles. Cuentan con Wifi."
Coffee Island,Bay St,Jorell Mora,3 weeks ago, 5 stars ,
Coffee Island,Bay St,Vivek Rao,4 weeks ago, 4 stars ,
Coffee Island,Bay St,Mina Jalali,a month ago, 5 stars ,Amazing taste of coffee around the world! Turkish coffee highly recommend
Coffee Island,Bay St,Kyleeanne Wood,a month ago, 3 stars ,
Coffee Island,Bay St,Zeynab Kohandel,a month ago, 4 stars ,
Coffee Island,Bay St,Sena bozkır,a month ago, 5 stars ,Lovely ambiance with warm yellow lights. Cute little cafe with delicious coffee! On the pic is seen capuccino with oatmilk. Good prices as well! Def refommend it.
Coffee Island,Bay St,Will Grafham,a month ago, 5 stars ,"Best vibe, taste, service, and most reasonably priced coffee shop I’ve tried in Toronto! Had a oat cappuccino and usually it’s made poorly when using this type of milk but it came out really well. Everything is spaced out well too, unlike other small coffee shops where conversation is hard to have. Will definitely be back to try different brews."
Coffee Island,Bay St,Rabina Chand,a month ago, 5 stars ,Love everything they serve. My fav is the almond croissant..must try that. Coffee is amazing too.
Coffee Island,Bay St,A B,a month ago, 5 stars ,
Coffee Island,Bay St,m,a month ago, 2 stars ,Place is ok. Prices are higher then Tim Hortans but the same taste in coffee imo
Coffee Island,Bay St,Yehor Plakhotia,a month ago, 5 stars ,
Coffee Island,Bay St,Dwayne J,2 months ago, 5 stars ,
Coffee Island,Bay St,Zohaib Noorani,2 months ago, 5 stars ,Loved their Strawberry Hot Chocolate!
Coffee Island,Bay St,Joyce,2 months ago, 5 stars ,One of the best coffee shops in downtown TO.  Great friendly staff and knowledgeable!
Coffee Island,Bay St,Roger Tabares,2 months ago, 4 stars ,"Beautiful place, great service and food! Excellent service"
Coffee Island,Bay St,Alzhan,3 months ago, 2 stars ,It was once great. Not anymore though.
Coffee Island,Bay St,Janice Chen,3 months ago, 5 stars ,
Coffee Island,Bay St,J B,3 months ago, 2 stars ,"It's okay if a place doesn't have WiFi, but here they have WiFi sign with password but it never works. Employees don't seem to care about that either. They simply answer ""They don't know why it's not working. It works for some"". In fact, it doesn't work for anyone. They won't do anything to help with WiFi because they say their system relies on that WiFi and doing anything is risky.

AMAZING coffee bway! Love their single estate blends."
Coffee Island,Bay St,Andrew Doppenberg,3 months ago, 4 stars ,Good coffee at a decent price. Could use more seating inside.
Coffee Island,Bay St,Mr JAMIE D. TORONTO,3 months ago, 4 stars ,"Amazing pastries and warm service. The sea salt hot chocolate is beyond delicious. The space is super cute, just tiny so a tad on the noisy side. Not ideal as a workspace or hangout it you're catching up with an old friend like I was."
Coffee Island,Bay St,Daniel Deschenes,3 months ago, 5 stars ,Amazing coffee and food
Coffee Island,Bay St,Barbara Lavoie,3 months ago, 5 stars ,
Coffee Island,Bay St,Priscila Siebra,4 months ago, 5 stars ,"Cute space, friendly baristas and delicious coffee. High quality. Love this coffee shop."
Coffee Island,Bay St,Raha Bahrehdar,4 months ago, 5 stars ,Loved their scones! Staffs are very nice and friendly
Coffee Island,Bay St,Cecilia Mok,4 months ago, 5 stars ,"Small coffee shop with an incredibly big menu of coffee and brewing methods. You can buy beans and grinds here too. They will make custom mix for you if you wish too. Brew bar offers more than the typical offerings: drip, aeropress, chemex, and syphon too! Service is fast and friendly. Had a v60 drip, cappuccino with oatmilk, cheddar and chive scone and ham and cheese croissant. The pastries were heated up and great! Drinks were also good. Will be back to try more! There is seating inside and outside too."
Coffee Island,Bay St,amanda simard,4 months ago, 3 stars ,The coffee is good but the service was subpar at the time.
Coffee Island,Bay St,Iris Li,4 months ago, 5 stars ,This is my frequent coffee-to-go place whenever I’m at Toronto. I like bold taste coffee and the coffee here just suits my taste. The croissant is nice too.
Coffee Island,Bay St,Noah Ifergan,4 months ago, 3 stars ,"Didn't love the vibe here. Stuffy. Wi-fi didn't work. Coffee is pretty good though.

💓 Vibe - 3/5
🪑 Seating - 3/5
↔️ Space - 2/5
📶 Wifi - 1/5
☕️ Coffee - 4/5"
Coffee Island,Bay St,Motty Gruda,5 months ago, 5 stars ,
Coffee Island,Bay St,Jimmy Wang,5 months ago, 5 stars ,
Coffee Island,Bay St,David Aylen,5 months ago, 5 stars ,Was in the neighbourhood. Coffee was excellent!
Coffee Island,Bay St,Sujo Das,5 months ago, 1 star ,
Coffee Island,Bay St,Denis Baran,5 months ago, 5 stars ,Great customer service and professional staff members.
Coffee Island,Bay St,Tara Haddad,5 months ago, 4 stars ,A bit pricey but has a nice vibe
Coffee Island,Bay St,David “Julian” Martin,5 months ago, 5 stars ,
Coffee Island,Bay St,Orange Banana,5 months ago, 5 stars ,
Coffee Island,Bay St,བློ་བཟང་།,5 months ago, 5 stars ,Great coffee and croissant. Their reusable mug has a stopper and sleeve on it!
Coffee Island,Bay St,Darren Cheng,6 months ago, 5 stars ,
Coffee Island,Bay St,Pooya Sadeghi,6 months ago, 5 stars ,"Love the place, lovely and beautifully designed interior, very good coffee and pastries and friendly staff. Couldn’t ask for a better place."
Coffee Island,Bay St,Grace Quinsey,6 months ago, 5 stars ,Fabulous matcha lattes! Great service as well.
Coffee Island,Bay St,Isabelle Poole,6 months ago, 4 stars ,
Coffee Island,Bay St,Péter Sós,6 months ago, 5 stars ,"Nice staff, good coffee, decent food choices, downtown prices. It's nice to have reliable quality coffee in the neighbourhood!
Dog friendly (at least for ordering you can bring your dog inside)"
Coffee Island,Bay St,Elie Salameh,6 months ago, 5 stars ,"Hi Péter, thanks a lot for your wonderful 5-star review! Really glad that you love our coffee! Can't wait to meet you again soon at our coffee shop!"
Coffee Island,Bay St,Dona T,6 months ago, 3 stars ,
Coffee Island,Bay St,Taofiq Aziz,6 months ago, 5 stars ,
Coffee Island,Bay St,Kimia Roshani,6 months ago, 5 stars ,The iced V60 Colombian beans - best iced coffee I’ve ever tasted
Coffee Island,Bay St,penelope metaxas,7 months ago, 5 stars ,Amazing coffee and staff. Their Turkish coffee and pastries are the best.
