cafe,street,user,time,stars,reviews
Dispatch Coffee,Bay St,V N,a day ago, 5 stars ,
Dispatch Coffee,Bay St,Will Jeon,5 days ago, 5 stars ,
Dispatch Coffee,Bay St,Brianna Dueck,6 days ago, 5 stars ,Delicious coffee.
Dispatch Coffee,Bay St,Dmitry Romanenko,a week ago, 5 stars ,"Comfy coffee spot inside of business center with tables. I was satisfied with quality of coffee and amount of available minimalistic seating area, but was a bit disappointed that when my coffee was meant to be brought by staff upstairs, but wasn't after 15 minutes, and when I found out that it's waiting at pickup area I had to bring it upstairs myself. I suggest they should either bring themselves or tell customers exactly that they should take care of it."
Dispatch Coffee,Bay St,Snow Zhou,a week ago, 5 stars ,The cappuccino was a WOW!!!
Dispatch Coffee,Bay St,HyunJung Joung,a week ago, 5 stars ,One of the best latte I ever tried. Really enjoyed it!
Dispatch Coffee,Bay St,Chris Weng,2 weeks ago, 5 stars ,Thank you!
Dispatch Coffee,Bay St,Scott Norris,3 weeks ago, 5 stars ,"Nice coffee, super friendly staff!"
Dispatch Coffee,Bay St,FreeTayK47 l,3 weeks ago, 5 stars ,Thanks Chris
Dispatch Coffee,Bay St,J P,a month ago, 5 stars ,My fav Montreal coffee finally made it to Toronto. Their beans are top notch with depth of flavour and profiles like few out there. I have been a subscription member for a number of years and have enjoyed everything I have recieved. A must try in my books.
Dispatch Coffee,Bay St,Ramea Ashok,a month ago, 5 stars ,Thank you Scott!! 
Dispatch Coffee,Bay St,Yellow_Duck,a month ago, 4 stars ,coffee is good. Security gaurd on weekend is so handsome and kind.
Dispatch Coffee,Bay St,Max Olivier,a month ago, 5 stars ,Thank you!
Dispatch Coffee,Bay St,dikshant grover,a month ago, 5 stars ,"My new favourite place to work and have amazing Montreal coffee!
It’s serendipitous because I remember walking into a dispatch during my first trip of Montreal last January and the barista told me a Toronto one would open in the near future.
Part of me wants this place to stay a little hidden so that it doesn’t become 120% occupied most of the time like most Toronto cafes.."
Dispatch Coffee,Bay St,Justin -,a month ago, 5 stars ,Thank you JP!
Dispatch Coffee,Bay St,Arianne Frias,a month ago, 4 stars ,
Dispatch Coffee,Bay St,Joseph Munro,2 months ago, 5 stars ,"Thank you, Ramea!"
Dispatch Coffee,Bay St,G G,2 months ago, 4 stars ,
Dispatch Coffee,Bay St,Daniel Ah Tou,2 months ago, 5 stars ,Thank you for the review! We'd love to know what could bring us to five stars - we're always open for feedback at info@dispatchcoffee.ca :)
Dispatch Coffee,Bay St,EUNJEONG LEE,3 months ago, 5 stars ,"Hands down the best coffee shop in the city.
Everyone is super nice. It's a huge space nested in the financial district. Perfect spot to relax or do some work. The coffee is 11/10 and they rotate the beans everyday."
Dispatch Coffee,Bay St,Ramya Gudipudi,3 months ago, 4 stars ,"Wow, thanks for the awesome review Max! See you soon!"
Dispatch Coffee,Bay St,Jina Lee,3 months ago, 5 stars ,
Dispatch Coffee,Bay St,Joshua Wiener,3 months ago, 4 stars ,Thank you so much!
Dispatch Coffee,Bay St,M T,3 months ago, 4 stars ,
Dispatch Coffee,Bay St,Tara Kachroo,3 months ago, 4 stars ,"Thanks so much, Justin!"
Dispatch Coffee,Bay St,Marine,3 months ago, 5 stars ,"I always go to dispatch every after gym, but today, the barista wasnt that approachable, didnt even ask me if I want it hot or cold and just put what I said and asked me to pay then made my drink. So he made me the iced one, but I didnt told him that I want it hot. I know its my fault for forgetting, but I think its better to clarify things first as well before making a drink. Been to many coffee shops around downtown but I always go back to dispatch because of the great coffee, but I guess not anymore. Service is one of the most important aspects to attain customers. 😊"
Dispatch Coffee,Bay St,Raquel Rodrigues,3 months ago, 5 stars ,Hi Arianne! We're so sorry to hear that your experience this day was disappointing. Feedback is always helpful and I've passed yours on to the team. We're always striving to provide the best service possible and hope that that's what you will receive should you decide to come back again. You're right - great coffee is not the only thing that matters!
Dispatch Coffee,Bay St,Tianran WANG,3 months ago, 5 stars ,"The best coffee I've ever had in Toronto. My latte had perfectly steamed milk, and the staff was very friendly."
Dispatch Coffee,Bay St,Darren Mak,3 months ago, 5 stars ,"Wow, thank you so much Joseph! That's so great to hear. Hope to see you soon!"
Dispatch Coffee,Bay St,R M,3 months ago, 5 stars ,Free coffee with purchase of beans is legit strategy!
Dispatch Coffee,Bay St,Theresa,4 months ago, 5 stars ,"Thank you G G! We're glad you think so, it's just a small thank-you for the support! 
Would love to know what could bring us to 5 stars out of 5 - we're always open to feedback at info@dispatchcoffee.ca :)"
Dispatch Coffee,Bay St,Simon Owens,4 months ago, 4 stars ,
Dispatch Coffee,Bay St,Maggie Z,4 months ago, 5 stars ,"Thanks so much for the 5 stars, Daniel!"
Dispatch Coffee,Bay St,Daniel Arsenault,4 months ago, 5 stars ,"(Translated by Google) 2022. 11. 03 visit
It is a coffee shop where you can sit quietly and enjoy coffee in downtown Toronto.
There are about 8 tables on the 2nd floor, so you can sit and drink coffee. The customers are quiet, and there is quiet music in the cafe, so it seems to be a good space to come and read a book or study. The staff taking the order was also very kind, so I remember going there after drinking a pleasant coffee.

(Original)
2022. 11. 03일 방문
토론토 다운타운 내 조용하고 앉아서 커피를 즐길 수 있는 커피전문점 입니다
2층에 8개 정도의 테이블이 있어서 커피를 받고 앉아서 마실 수 있습니다. 손님들도 조용하고 카페 안에도 조용한 음악이 나와서 잠시 와서 책을 읽거나 공부 하기에 좋은 공간인 듯 합니다. 주문을 받는 직원 분도 너무 친절해서 기분 좋게 커피를 마시고 간 기억이 남습니다"
Dispatch Coffee,Bay St,More Spinach,4 months ago, 1 star ,"Thank you for the wonderful review, we're so glad we made a good impression!"
Dispatch Coffee,Bay St,Ally MYC,4 months ago, 5 stars ,"Stumbled upon this new place, got latte and scones so good! Definitely recommended!"
Dispatch Coffee,Bay St,John Mendoza,4 months ago, 5 stars ,Hi Ramya - so glad you enjoyed your visit! See you soon :)
Dispatch Coffee,Bay St,Jani,4 months ago, 5 stars ,Best coffee in downtown Toronto
Dispatch Coffee,Bay St,Noah Ifergan,4 months ago, 4 stars ,"Thank you so much Jina! 
- Chrissy"
Dispatch Coffee,Bay St,Alan D,5 months ago, 5 stars ,
Dispatch Coffee,Bay St,Laura Ma,5 months ago, 5 stars ,"Hi Joshua, thanks for the review! We'd love to hear more critical feedback if you ever have the time as to what would inspire a 5 star vs. 4 star review :) - info@dispatchcoffee.ca"
Dispatch Coffee,Bay St,Ben V,5 months ago, 4 stars ,"Went there to check out the coffee. Coffee shop is cute, seating is on second level with tables and couches. Has 11 types of ground available for purchase. I tried the Guatemala espresso ground today, on the bitter end with citrus/nectarine notes. Strong espresso. Has pastries and cookie treats. Cortado was $4.90 total. Good spot to check out downtown. Unsure if it would be my go to spot."
Dispatch Coffee,Bay St,Sean Leung,5 months ago, 5 stars ,"Hi MT, thanks for this feedback, please email us if you do have the time at info@dispatchcoffee.ca for more direct feedback as to what would make us your go - to! We'd love to hear. 

- Chrissy "
Dispatch Coffee,Bay St,Jun Park,5 months ago, 5 stars ,"Corporate space - very clean and spacious, lots of natural light, very fast service, but regularly a line up in the morning right before 9am."
Dispatch Coffee,Bay St,Farnoosh Brock,5 months ago, 5 stars ,"Hi Tara, thanks for this review and feedback! We are experiencing busier days for sure and looking to ensure we can deliver the speediest service possible to shorten that line up. We hope to see you again soon :)

- Chrissy "
Dispatch Coffee,Bay St,Tenzo,5 months ago, 5 stars ,Bright and uplifting cafe attached to the building. Access on Richmond street. Excellent match latte! Comfortable sitting and free wifi.
Dispatch Coffee,Bay St,Trent Marbach,6 months ago, 5 stars ,"Hi Marine, thanks so much for this nice review :) Glad you enjoyed the Macha latte :)"
Dispatch Coffee,Bay St,Zoltan Debre,6 months ago, 5 stars ,Amazing coffee and the baristas are so kind!
Dispatch Coffee,Bay St,Justin Weisz,7 months ago, 5 stars ,Thanks for this feedback! We will pass on the word to our team :)
