cafe,street,user,time,stars,reviews
Juice & Java Cafe,Queen St E,Barbara Retz,3 hours ago, 5 stars ,Nice place for coffee and lunch
Juice & Java Cafe,Queen St E,Bob Taylor,a day ago, 3 stars ,Nice spot on Queen a little tired and coffee was a step up from Tim's
Juice & Java Cafe,Queen St E,C Warner,2 weeks ago, 5 stars ,
Juice & Java Cafe,Queen St E,Martin Ayliffe Smith,a month ago, 4 stars ,Excellent quality fare prepared with care by friendly and competent staff.
Juice & Java Cafe,Queen St E,Courtney Ayukawa,a month ago, 3 stars ,"Vibe and atmosphere is cute and cozy with a good amount of seating upstairs.

I think they recently increased their prices and the menu on their website might be out of date.
I don't feel like what I got was worth it. After tax and 15% tip, my club sandwich and side minestrone soup was $26. Inflation hitting hard!

Very few options for people who are lactose intolerant or vegan as nearly all menu items have cheese."
Juice & Java Cafe,Queen St E,paul booi,a month ago, 5 stars ,One of the best places in the beach
Juice & Java Cafe,Queen St E,Rhiannon B,3 months ago, 1 star ,"They don’t pay their employees if they don’t have to, apparently (I opened a labour board dispute and won and they STILL didn’t pay me, a former employee came in when I was working there and said they did her dirty as well as another review here has another employee saying the same)…they also bought pastries from a local cafe/pie place (now closed) and repeatedly froze & thawed them out to sell at full price as a daily business practice - one of many cut corners. I wouldn’t eat any of the food. If you’re disabled, green or naive definitely keep on looking for a job, it’s not worth it - this couple will be mean to you and/or take advantage."
Juice & Java Cafe,Queen St E,Maliha K.,3 months ago, 3 stars ,"Not too bad, if I’m being honest not my FAVOURITE coffee shop on the beaches because I feel like the coffee is sometimes not fresh and the matcha drinks are 98% milk and 2% matcha. I do however love the service and their baked stuff, brownies and cookies are great here!! If you’re looking to get their salads though I would probably not.. there’s better salad other places around. Great customer service though, super friendly people, just not too good for their actual drinks :( Not worth the price, sorry!!"
Juice & Java Cafe,Queen St E,Jim W,3 months ago, 3 stars ,It's fine. Been here twice and the food is not worth the price but it was fine. The crepe menu looks good but the sandwich board is approaching fine dining prices for basic sandwiches. It seems to be busy with an older local clientele. The way their stock is stored is quite odd. It was very clean but cluttered in layout.
Juice & Java Cafe,Queen St E,Eri Maeda,4 months ago, 5 stars ,The prices on the menu are increase and no longer matching on their website but still the best crapes on the Beach!
Juice & Java Cafe,Queen St E,Fiona e,4 months ago, 1 star ,Horrible woman. I was told to “not move around and sit down” after I went upstairs to look around and connect to the wifi. Also their bagels are half the size of regular bagels and they are charging 5$ more then the bagel place in my neighbourhood Yonge and Eglinton.
Juice & Java Cafe,Queen St E,Kara Beharry,5 months ago, 5 stars ,"Really enjoyed my experience at this Cafe. The name is misleading as they offer lots of food items. Oh well, after a 30km bike ride my appetite was definitely satiated with one of their savory crepe, hot sandwich, and delicious chai tea latte. Huge shout-out for making that great cup of chai. It was yum-o! Will definitely come back."
Juice & Java Cafe,Queen St E,Lauren Walker,5 months ago, 5 stars ,
Juice & Java Cafe,Queen St E,Gwyn Susan,5 months ago, 5 stars ,Great place. Friendly staff. Good coffee. Left my phone behind by mistake but the gentleman had it behind the counter when I arrived to check for it.
Juice & Java Cafe,Queen St E,Sami Pritchard,6 months ago, 4 stars ,
Juice & Java Cafe,Queen St E,Iryna Marchuk,6 months ago, 1 star ,"VERY Disappointed!!
We came to the place right before they were closing and ordered 1 cup of americano and 1 cappuccino, paid $10 for the order and americano was beyond disgusting! They were rushing to close at 4:40 and felt like they didn’t change the coffee from the previous client and made this “brown water” for my order. I couldn’t drink this absolutely gross “drink” and had to just poor it out! 👎🏻"
Juice & Java Cafe,Queen St E,Dean Singh,7 months ago, 5 stars ,Great coffee
Juice & Java Cafe,Queen St E,scott ewen,7 months ago, 3 stars ,"Great local favourite for lunch , breakfast,  coffee , all home made cooking. Delicious pastries, you can’t go wrong here . Wonderful staff."
Juice & Java Cafe,Queen St E,Lisa Abbott,7 months ago, 5 stars ,
Juice & Java Cafe,Queen St E,John Brune,8 months ago, 5 stars ,"We ate three different wrap's, they were very good and also good price. We ate upstairs very comfortable and clean. Everyone working were very pleasant. We came up from Alabama, if we get a chance to visit again we will most likely eat there."
Juice & Java Cafe,Queen St E,Sanjoli Jain,8 months ago, 5 stars ,"Cute cafe with sunny patio at the beaches!

Stop by for a coffee, quick snack or full meal. I tried their blueberry muffin which was WOW, so good! ❤️"
Juice & Java Cafe,Queen St E,Dr. Adam Bletsoe,8 months ago, 5 stars ,Yum!!!  Such tasty food.  I had The Breakfast Sandwich on a ciabatta bun.  Cait had a smoothie packed with fruit!
Juice & Java Cafe,Queen St E,Suzie Santos,8 months ago, 5 stars ,"Love the ambiance service and everything else about this place. The owner always greets you with a smile on her face, a place to feel welcome."
Juice & Java Cafe,Queen St E,Karina Garibay,10 months ago, 5 stars ,
Juice & Java Cafe,Queen St E,Tony Moracci,10 months ago, 5 stars ,
