cafe,street,user,time,stars,reviews
Remarkable Beans,Queen St E,Wacha Chaka,2 weeks ago, 4 stars ,
Remarkable Beans,Queen St E,Allan Pulker,a month ago, 3 stars ,"Not as good as it used to be. Plastic panels between customers and barista, cramped indoor seating and main seating area has been taken over by business-related activities.

However the espresso is still excellent!

It is, alas, no longer my first choice among the various cafés in my neighbourhood."
Remarkable Beans,Queen St E,Gabriela,a month ago, 5 stars ,Hands down the best cortado I've ever had! Happy to see gluten free options available! Grabbed a gluten free brownie and it was not very sweet.
Remarkable Beans,Queen St E,Yeung Stephenie,2 months ago, 1 star ,"I ordered a cup of soy milk latte and a cup of earl grey tea, the girl ended up giving me a cup of earl grey tea with soy milk."
Remarkable Beans,Queen St E,Abjith,2 months ago, 5 stars ,
Remarkable Beans,Queen St E,Simon W,3 months ago, 3 stars ,"I would pass by and notice a sign advertising they had ice cream so I decided to give it a try. I'm sure the coffee is great given the reviews, but their ice cream cone was very sad. Would not recommend their ice cream."
Remarkable Beans,Queen St E,Tarek Ghaly,4 months ago, 5 stars ,Cozy place that I found by coincidence!! I took the wrong metro and found this hidden gem.. coffee is very nice and bakeries too..staff are very friendly and prices are reasonable..
Remarkable Beans,Queen St E,Joe Adragna,5 months ago, 5 stars ,I'm a coffee flavored coffee kind of guy. The best coffee I've had in a long time!
Remarkable Beans,Queen St E,Mike W,5 months ago, 5 stars ,Great coffee.  Great snacks.
Remarkable Beans,Queen St E,Marianne Fowler,5 months ago, 5 stars ,
Remarkable Beans,Queen St E,Rebby Jacobs,5 months ago, 5 stars ,Super friendly staff and such a cozy vibe. I had an absolutely delicious vegan sausage roll and cappuccino!
Remarkable Beans,Queen St E,Amir Ghaffari,5 months ago, 5 stars ,"The have remarkable coffee and great ambiance, they roast their own coffee and I always ask the them to grind fresh for me ,,,,I do recommend , I believe is family run business…."
Remarkable Beans,Queen St E,Toronto Psychology,6 months ago, 5 stars ,Love the fresh Pastries
Remarkable Beans,Queen St E,Rekha,6 months ago, 2 stars ,"It's okay, nothing special at all. Also, me and three other friends got the exact same drink with no modifications and were somehow charged different amounts before tip. Will not be returning."
Remarkable Beans,Queen St E,R H,6 months ago, 3 stars ,Can’t beat fresh pastries with a double shot
Remarkable Beans,Queen St E,Andy Dabydeen,6 months ago, 5 stars ,"Excellent coffee shop and roaster. Yes, they have teas and lots of tasty baked goods as well."
