cafe,street,user,time,stars,reviews
The Haven Low-Carb Cafe,Queen St E,mick stocko,a week ago, 5 stars ,
The Haven Low-Carb Cafe,Queen St E,Flamesoul84,3 weeks ago, 5 stars ,Glutten free and very wholesome staff
The Haven Low-Carb Cafe,Queen St E,Dale Street,3 weeks ago, 4 stars ,Thanks for coming in! 😇 you rock
The Haven Low-Carb Cafe,Queen St E,Jason Yee,2 months ago, 5 stars ,"Lovely little cafe serving Detour and Pilot coffee, with a nice selection of takeaway snacks and meals and pantry items."
The Haven Low-Carb Cafe,Queen St E,Mike Kuch,2 months ago, 5 stars ,Thank you Dale!! Hope to have you back soon
The Haven Low-Carb Cafe,Queen St E,sophie steel,2 months ago, 5 stars ,
The Haven Low-Carb Cafe,Queen St E,Safwan El Abbassy,3 months ago, 5 stars ,Thanks Jason 😍
The Haven Low-Carb Cafe,Queen St E,Fabio Aversa,3 months ago, 5 stars ,"Bright, spacious and great coffee.  I had the Cortado and it was excellent.   Nice menu items if your hungry; they make sandwiches, etc.  Music was also on point."
The Haven Low-Carb Cafe,Queen St E,Helen G,3 months ago, 3 stars ,Thank you Mike ❤️
The Haven Low-Carb Cafe,Queen St E,Stephen Tredget,4 months ago, 5 stars ,
The Haven Low-Carb Cafe,Queen St E,Pheebe McDonald,4 months ago, 5 stars ,Thank you Sophie!!
The Haven Low-Carb Cafe,Queen St E,Sco Mo,4 months ago, 5 stars ,Great coffee and a wide low carb options that actually taste good.
The Haven Low-Carb Cafe,Queen St E,Victoria Ferraro,4 months ago, 4 stars ,Thank you!! Hope to have you back soon 😍❤️
The Haven Low-Carb Cafe,Queen St E,Kat G,5 months ago, 1 star ,
The Haven Low-Carb Cafe,Queen St E,AC,5 months ago, 5 stars ,Thank you for leaving 5 stars!!
The Haven Low-Carb Cafe,Queen St E,Willy Leung,5 months ago, 4 stars ,My go to place for keto cookies and delicacies. Coffe is ok not the best around the area. Service is nice and chatty. Some foods though are Really Overpriced!
The Haven Low-Carb Cafe,Queen St E,Deep Dhillon,5 months ago, 5 stars ,Thanks Helen hope to have you back for cookies! We do pride ourselves on having good pricing for the quality of our food.. Best - aria
The Haven Low-Carb Cafe,Queen St E,Tim D,6 months ago, 5 stars ,Best Coffee and service in the beaches
The Haven Low-Carb Cafe,Queen St E,k,6 months ago, 5 stars ,Thank you Stephen ❤️
The Haven Low-Carb Cafe,Queen St E,K Stewart,6 months ago, 5 stars ,The best chocolate chip cookie for my keto body
The Haven Low-Carb Cafe,Queen St E,Sean Persad,6 months ago, 5 stars ,✊🏽✊🏽
The Haven Low-Carb Cafe,Queen St E,Neilizza Silva,6 months ago, 5 stars ,"I love this spot, lots of very good food options including sandwhiches, and their coffee is bang on too !! You wouldn't know this place was low-carb, there's no sacrifice to taste here 😎
Also, I can use Muuse.ca here too 🤳🏽🔁🌎 …"
The Haven Low-Carb Cafe,Queen St E,Fulden ozsoylu,8 months ago, 5 stars ,
The Haven Low-Carb Cafe,Queen St E,Diana Lopez hernandez,8 months ago, 5 stars ,"Unfortunately not fully gluten free anymore 😔 FYI for celiacs... Hopefully it goes back to all GF 🤞to avoid cross contamination and be safe again, kitchen is too small to be celiac safe with the menu changes. …"
The Haven Low-Carb Cafe,Queen St E,Tyler Dias,8 months ago, 5 stars ,"Hi Katharine, while we appreciate you taking the time to leave us a review, we do still offer celiac friendly options. We do work with many bakeries and other kitchens who do not process gluten and those items are pre-packaged and sealed. Our house menu does process gluten and is labelled as such. Thank you again and do reach out if we can help with anything else."
The Haven Low-Carb Cafe,Queen St E,Sami Pritchard,9 months ago, 5 stars ,Love this spot! Such a cute cafe and their coffee is always delicious! They definitely stepped up their game in the Beaches by partnering with Muuse to offer a completely zero waste takeout experience in BEAUTIFUL reusable cups and I couldn't be happier! Kudos to you :)
The Haven Low-Carb Cafe,Queen St E,Graeham Magee,9 months ago, 4 stars ,Thanks so much for the review! We appreciate it so much :)
The Haven Low-Carb Cafe,Queen St E,Avihai Fernbach,11 months ago, 5 stars ,Small and dainty coffee store by the beaches. The aesthetic is nice and the washroom is clean. The beans make for a good Americano. The baristas were very passionate explaining to me different beans.
The Haven Low-Carb Cafe,Queen St E,Jesse-Ross Cohen,11 months ago, 5 stars ,Thanks Willy! Come back any time
The Haven Low-Carb Cafe,Queen St E,Jessica Darling,a year ago, 5 stars ,The best Americano in the Beaches (possible Toronto). Love coming here. Staff and owner are all very friendly.
The Haven Low-Carb Cafe,Queen St E,Patrick Hodgson,a year ago, 5 stars ,"We are honoured, thank you deep!"
The Haven Low-Carb Cafe,Queen St E,Monique Blackman,a year ago, 5 stars ,
The Haven Low-Carb Cafe,Queen St E,Dave McKay,a year ago, 5 stars ,:) thanks Tim
The Haven Low-Carb Cafe,Queen St E,Sandra,a year ago, 5 stars ,Wonderful coffee and the best selection of sugar free sweets I’ve ever had the luck of coming across
The Haven Low-Carb Cafe,Queen St E,Christina B,a year ago, 5 stars ,"You da best, thanks for the review!"
The Haven Low-Carb Cafe,Queen St E,Kayley Henning,a year ago, 5 stars ,My partner just did our second delivery order from here. Excellent Keto Cookies for afternoon munchies!
The Haven Low-Carb Cafe,Queen St E,Christophe F.,a year ago, 5 stars ,Thank you!! So glad you enjoyed your delivery
The Haven Low-Carb Cafe,Queen St E,Ilan D. Muskat,a year ago, 5 stars ,"Great drinks, haven't tried any food items"
The Haven Low-Carb Cafe,Queen St E,The Beach Foodie,a year ago, 5 stars ,Glad you love our drinks! Hope you’ll try our food soon
The Haven Low-Carb Cafe,Queen St E,Mark Stevenson,a year ago, 5 stars ,"Good food, ok prices. Most of the keto products are expensive which is to be expected- but the quality does make up for it. The tiramisu they sell by ketolibriyum is absolutely amazing.

The only downside is it's a little too far away and way out of the way and the hours are too short so if you need to get something after a 9-5 job in downtown Toronto, store would be closed by then.

Would really help if they had delivery of some kind."
The Haven Low-Carb Cafe,Queen St E,Pamela Beharry,a year ago, 5 stars ,Thanks for your review and for supporting local. We are slowly introducing delivery and will be adding more items weekly. Team haven!
The Haven Low-Carb Cafe,Queen St E,Wally,a year ago, 5 stars ,It’s so hard to believe that cheesecakes have low carb as they are sooo delicious!!
The Haven Low-Carb Cafe,Queen St E,Bonnie Lee,a year ago, 5 stars ,Right?! We agree. Thanks for the review Fulden
The Haven Low-Carb Cafe,Queen St E,Natacha Santos,a year ago, 5 stars ,
The Haven Low-Carb Cafe,Queen St E,Leila Monib,a year ago, 5 stars ,Thank you!! We appreciate you
The Haven Low-Carb Cafe,Queen St E,Doug Semple,a year ago, 5 stars ,Buttermilk chicken sammy is delicious.
