cafe,street,user,time,stars,reviews
White Rabbit Caffe,Bay St,Nikita Su,a day ago, 4 stars ,"This place has it's pro's and cons. The drinks taste delicious and the cappuccino I had reminded me of cappuccinos' I've had in Europe however it was double the price. The croissant I had wasn't the best. It wasn't soft, rather tough and chewy which was unfortunate. I did like the ambience and the setup inside. It is quite a beautiful café with great tasting coffee but it misses the mark."
White Rabbit Caffe,Bay St,Anne Mary Pham,2 weeks ago, 5 stars ,"Great coffee and decent vibes. There isn’t much space to sit/work, so I wouldn’t come here to study. But this place definitely serves a great flat white!"
White Rabbit Caffe,Bay St,Zahra Rajaei,2 weeks ago, 5 stars ,"Small, minimalistic and cute caffe with nice and friendly staff. There are not much sitting spaces but very well designed to have a calming vibe. I also love the menu as it is pretty straight forward and compartmented so you don’t need to spend half an hour to choose your order.
Their croissants was OK, not the best."
White Rabbit Caffe,Bay St,Anne,4 weeks ago, 5 stars ,"Such a cute, minimalistic little café with great coffee and pastries. I loved the pistachio oat milk latte and croissants. All the staff are so nice, you'll feel relaxed and at home here."
White Rabbit Caffe,Bay St,Maia Iris,4 weeks ago, 5 stars ,Cute and compact cafe which also sells coffee beans and a small array of pastries. The pistachio latte is fantastic!
White Rabbit Caffe,Bay St,Grace David,2 months ago, 4 stars ,"Another overpriced cafe but oh how I love it. A little sad that they only have 3 functional tables so if you are planning to go there to work, don’t. Or at-least have a backup plan. Tea was good but not worth five dollars. Pastries however, were phenomenal and I thoroughly enjoyed their raspberry croissant.

The atmospheres is really cute and service was quick and kind so I may try to come early to get a table and study for the day, but not to sure if it’s worth it."
White Rabbit Caffe,Bay St,Healani Norman,3 months ago, 4 stars ,"Very minimalistic coffee shop, I love it!!! The menu is easily compartmentalized so you're not spending twenty minutes deciding or even trying to locate what you want. I ordered the latte and my husband got the cappuccino, both of which came out with perfect micro foam. The croissant was on par being light and fluffy. We sat outside at one of the tables out front and people watched for a little while. Very lovely overall :)"
White Rabbit Caffe,Bay St,A Dreamer (ASA),3 months ago, 4 stars ,"I don’t usually go to small cafes like this (I go to big mainstream ones) but coming to this one on a whim at 8AM on a rainy morning was very cathartic. I’m not in Toronto all the time, so in a dry corner outside I spent 10 mins trying to find a cafe open, as it was 7:30am and many came up and frankly I walked the distance to a few, to which I couldn’t find and or cafes that didn’t feel right. When I saw this one I was pulled in b/c the name and honestly I’m glad I made the walking trip in the cold that morning. I had a version of a green tea White Rabbit Caffe offered & it was very bitter but that’s green tea for you 😂 it was a big cup, I spent an hour or so here with my air buds in and I was not bothered. A place to try for the vibes, friends."
White Rabbit Caffe,Bay St,Marco,3 months ago, 2 stars ,
White Rabbit Caffe,Bay St,Nelly Aguila,3 months ago, 5 stars ,
White Rabbit Caffe,Bay St,Jim Wallace,4 months ago, 4 stars ,"Good coffee, but a quite limited selection of pastries and such the day I was there. Nice place, though."
White Rabbit Caffe,Bay St,Tyler TM,4 months ago, 4 stars ,"This local coffee shop has some great stuff.  Coffee is really high quality and quite affordable.  It’s a small little place, so maybe not super idea for working/studying but there’s room if you need to.  Drink specials can run a bit on the pricier side, so I’d stick to the classics"
White Rabbit Caffe,Bay St,Jessie C,4 months ago, 4 stars ,Small and cozy cafe. Nice ambiance but limited seating. Came in to order matcha latte with oat milk and it tasted great!
White Rabbit Caffe,Bay St,Karthik,5 months ago, 5 stars ,
White Rabbit Caffe,Bay St,Melissa B,5 months ago, 5 stars ,"I love this little spot. Great to get some work done and have a cappuccino :) Indoor and outdoor seating with good wifi. The cold tea is also good, the barista made me one with lichee and it was delicious."
White Rabbit Caffe,Bay St,Kathleene Sim,6 months ago, 5 stars ,"I've been searching for a cafe that opens early in the morning ~7AM on weekdays so I can spend some time having breakfast before I head over to work. I'd always known this café existed but I never took the leap to visit until today, and I'm really glad I took that chance.

The exterior is tiny and unassuming, but when you come in, you're invited into a small, cozy space filled with greenery in the form of decor, and lots of seating. It's a very home-y atmosphere and has this unpolished vibe to it – I liked it; it reminded me of a cafe I used to visit while in school.

I ordered a lavender latte and pistachio croissant. The barista was kind and helpful with describing the lavender latte, as I had some concerns. They were also able to sub in oat milk, as I'm a bit lactose intolerant.

I love lavender in theory, but any strong aromas of it truthfully turns me away. The latte I got was like the idea of lavender; the flavour was definitely there, but in a really subtle way, which is how I'd hoped it to be. The pistachio croissant was GREAT. They really didn't skimp on that filling.

I'll be back soon to try the rest of the menu!"
White Rabbit Caffe,Bay St,Tiffany Santos,7 months ago, 5 stars ,Highly recommend the lavender and pistachio latte!
White Rabbit Caffe,Bay St,Adel B,7 months ago, 1 star ,"Dissapointing experience. The drinks are very watered down, and the lids don't even fit properly so it spills when you try to drink which stained my pants.

In addition, although there are straws, they don't give you them and they don't even fit.

I hope this business improves because it definitely does not deserve over 2 stars..."
White Rabbit Caffe,Bay St,F J Iturralde,7 months ago, 5 stars ,"Awesome service. Great presentation. Nice Aesthetics. Good coffee. Good Pastries. If Ethan is in there, you'll have a great service."
White Rabbit Caffe,Bay St,Megan Fleming,7 months ago, 3 stars ,"Friendly experience and DELICIOUS iced lavender latte! I was excited to check out this café when I learned it had zero plastic, but it seems their to-go iced drinks cups are not zero plastic. I have been to other cafés with to-go iced drink cups that look like plastic but are indeed compostable, but this one has a recyclable symbol. I'd go back for a hot drink or to eat-in, but I was disappointed that their iced drink cups are not plastic-free despite being a zero plastic café."
White Rabbit Caffe,Bay St,Ramya Gudipudi,7 months ago, 2 stars ,"Ordered oat latte but had weird after taste for some reason, not sure it’s with espresso or oat milk. Not interested to visit again!"
White Rabbit Caffe,Bay St,Mk Bru,7 months ago, 5 stars ,quality lattes every time. highly skilled baristas. looking forward to my next visit!
White Rabbit Caffe,Bay St,Tarun Singh,7 months ago, 5 stars ,
White Rabbit Caffe,Bay St,Marina Galeano,8 months ago, 3 stars ,"I was hoping to try the pastries, but learned they are not vegan or plant-based 😕 …"
White Rabbit Caffe,Bay St,Carla C,8 months ago, 4 stars ,"It took me a while to have someone take my order in the store (the barista/cashier was absent), but the coffee is great! Would recommend :)"
White Rabbit Caffe,Bay St,Marisa Benjamin,9 months ago, 5 stars ,Best Americano I’ve had! Also their raspberry croissant was excellent. Stop in here if you’re a coffee purist & make sure to grab one of their many croissant options.
White Rabbit Caffe,Bay St,Ryan N,9 months ago, 5 stars ,Great lattes and the baked goods are tasty/not too sweet! The barista was very helpful in deciding what to choose as well
White Rabbit Caffe,Bay St,Natasha Mirosavljevic,10 months ago, 5 stars ,"such a cute cafe, the lavender latte is amazing!"
White Rabbit Caffe,Bay St,Pat RatCan,10 months ago, 5 stars ,The regular barista is soo nice and the drinks are exquisite!
White Rabbit Caffe,Bay St,Lavinia Kim,10 months ago, 5 stars ,"The owner makes amazing lattes! Plus he’s a very warm and friendly person, always makes you feel welcomed. We live nearby and get our coffee from White Rabbit 4-5 times in a week. ☕️"
White Rabbit Caffe,Bay St,Rekha,10 months ago, 5 stars ,"I got an iced mocha, it was delicious!!"
White Rabbit Caffe,Bay St,Natalia Marchenko,10 months ago, 1 star ,"The barista has to do a bit of training on the drinks preparation and customer service. Very unhappy to get the extremely diluted Americano on Wednesday.

The place also needs a very good clean. Not sure what the owner tries to achieve with dried-out potted plants and dust everywhere."
White Rabbit Caffe,Bay St,Mike Di Donato,10 months ago, 5 stars ,"Best espresso on Bay street. Anytime i am in this area i make a point to stop here and have a coffee, great staff, great atmosphere and amazing espresso."
White Rabbit Caffe,Bay St,Peter Shalala,10 months ago, 5 stars ,This is the best coffee shop in Toronto. Latte heaven
White Rabbit Caffe,Bay St,Jack Zhou,11 months ago, 5 stars ,
White Rabbit Caffe,Bay St,michelle shin,11 months ago, 5 stars ,"i love studying here, so quiet and small. the interior is also pretty and the the drink i got was amazing!"
White Rabbit Caffe,Bay St,Beth Griffin,a year ago, 5 stars ,"Such a great coffee shop! Delicious drinks, super friendly staff and a cute location, will for sure be back any time I’m in the city"
White Rabbit Caffe,Bay St,Shivaani Makesan,a year ago, 5 stars ,Had the lavender latte. It was sooo good!
White Rabbit Caffe,Bay St,Adriana Naffah,a year ago, 5 stars ,"Honestly love the place. Yes the coffee is good. Yes the pastries are delicious and fresh with multiple unique choices.

But what took the 5 stars is how friendly the barista was. It's such a cute place to sit with such a good ambiance. I had recommandations, jokes, a smile and a very friendly voice. That's what made the difference. Would come back ."
White Rabbit Caffe,Bay St,Shay,a year ago, 4 stars ,
White Rabbit Caffe,Bay St,s,a year ago, 1 star ,"Coffee was nice, but barista’s attitude was not good."
White Rabbit Caffe,Bay St,Mochi OCk,a year ago, 5 stars ,
White Rabbit Caffe,Bay St,Alex Mityunin,a year ago, 5 stars ,Amazing coffee and pastries
White Rabbit Caffe,Bay St,Hitesh Thukral,a year ago, 4 stars ,"Above average coffee, decent brew and flavor but not much complexity in milk based drinks (haclvemt tried the espresso or Americano by itself),  great croissants, would like a wider selection of pastries though"
White Rabbit Caffe,Bay St,Geoffrey L,a year ago, 5 stars ,"Best coffee on Bay Street. The little pastries are nice but the lattes are just amazing.

They're also super nice people. I forgot to bring my wallet once and the owner offered to give me the coffee for free. I declined came back immediately from my office to pay for it. It's honestly the best café around in my opinion."
White Rabbit Caffe,Bay St,ケビン,a year ago, 1 star ,Wrong hours on Google maps
White Rabbit Caffe,Bay St,Meggan Ye,a year ago, 5 stars ,Delicious lavender latte and pistachio croissant.
White Rabbit Caffe,Bay St,A O,a year ago, 5 stars ,"Cute small Cafe but good amount of indoor and outdoor seats. I always order the lavender latte because it's so good. I haven't had any of the baked goods and the other beverages but the menu looks pretty interesting. Next time,  I'll try something new.  Staff are pleasant as well.

Update:
Pistachio latte is amazing. The croissants are great too!"
White Rabbit Caffe,Bay St,Angel Chan,a year ago, 5 stars ,
White Rabbit Caffe,Bay St,Alex B,a year ago, 5 stars ,
White Rabbit Caffe,Bay St,Christine McMullin,a year ago, 5 stars ,This cafe is awesome! The owner is great and very responsive to anything you said to him about the food or drinks. He and the store itself were some of my fav things about that neighborhood when I lived there. So much better than Timmies. Keep it up!!
White Rabbit Caffe,Bay St,Payam Emadi,a year ago, 5 stars ,Nice spot
White Rabbit Caffe,Bay St,Adam Schneider,a year ago, 5 stars ,"I’d give this place 10 stars if I could. For one thing, the espresso was great, and every americano or latte or flat white I got was perfect. For another, the owner (who was most often the person behind the counter when we went in) was a breath of fresh air - one of the few people in the city who was friendly, personable, and treated my wife and me as human beings. He’d always smile, chat, and he remembered our orders and things we told him. People often talk about “local gems” and this place is the dictionary definition of that term. If I hadn’t left the city, I’d be there every day."
White Rabbit Caffe,Bay St,Nero T,a year ago, 4 stars ,Quant cafe with indoor and outdoor seating. Tasty croissants and coffee. They have milk alternatives for those who prefer
White Rabbit Caffe,Bay St,Ncedile Mankahla,a year ago, 5 stars ,"Excellent cafe. The owner understands coffee well and pulls great cups, he is attentive to his customers and their preferences and is pleasantly hospitable. One of the better places in Toronto. A city with an under developed coffee culture."
White Rabbit Caffe,Bay St,Tenzo,a year ago, 4 stars ,americano's fairly mild but balanced
